file,scenario,projections,used,K,init_src_x,init_src_y,init_src_z,init_obj_x,init_obj_y,init_obj_z,init_det_x,init_det_y,init_det_z,init_obj_rotY_deg,total_iters,cost_initial,cost_final,cost_change_pct,dddelta_initial,ddelta,ddelta_change_pct,lambda,dSx,dSy,dSz,dOx,dOy,dOz,offset_x,offset_z,dDx,dDy,dDz,stage_rotY_deg,src_x,src_y,src_z,obj_x,obj_y,obj_z,det_x,det_y,det_z,obj_rotY_deg_after_calib,final_estimated_delta_array
run00_u0065003.log,Scan1,1434.0,360.0,5.0,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,38.0,5567716.582542,11726.397107,99.78938588318648,13.61451,0.0008641071,99.99365304296666,1000000.0,0.0,0.0,0.0,-0.418,5.798,15.064,0.228,3.669,0.0,0.0,0.0,0.729,0.0,24.997,0.0,0.123,25.798,615.064,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.41760816, 5.79765727, 15.06410209, 0.0, 0.0, 0.0, 0.72878368, 0.22802009, 3.66942344]"
run01_u0065017.log,Scan2,360.0,360.0,5.0,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,55.0,15109639.365458,13325.196935,99.91180996043187,15.78972,0.0009002165,99.99429871777333,1000000.0,0.0,0.0,0.0,-0.432,10.183,15.149,0.161,3.67,0.0,0.0,0.0,3.773,5.0,29.995,0.0,0.109,30.183,615.149,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.43183495, 10.18250612, 15.14922594, 0.0, 0.0, 0.0, 3.77289695, 0.16148652, 3.66992146]"
run02_u0065019.log,Scan3,360.0,360.0,5.0,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,65.0,5822715.643385,9967.997456,99.82880844495085,14.14262,0.00195488,99.98617738438847,1000000.0,0.0,0.0,0.0,-0.402,8.232,16.05,0.181,3.697,0.0,0.0,0.0,4.641,5.0,29.992,0.0,0.138,28.232,816.049,0.0,24.977,1099.001,-4.5698,"[0.0, 0.0, -0.40241458, 8.23247227, 16.04994813, 0.0, 0.0, 0.0, 4.64095872, 0.18051523, 3.69749455]"
run03_u0065023.log,Scan4,360.0,360.0,5.0,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,53.0,69551952.030032,13747.202347,99.98023462757585,32.34423,0.006337621,99.98040571378574,1000000.0,0.0,0.0,0.0,-0.443,30.513,16.617,0.282,3.662,0.0,0.0,0.0,3.668,-10.0,29.997,0.0,0.098,50.513,816.616,5.316,39.966,1099.001,-4.5698,"[0.0, 0.0, -0.44263974, 30.51255036, 16.61677841, 0.0, 0.0, 0.0, 3.66795759, 0.28210737, 3.66249649]"
run04_u0065024.log,Scan5,360.0,360.0,5.0,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,40.0,88496329.097431,16862.0038,99.9809460980224,28.49362,0.001017259,99.9964298709676,1000000.0,0.0,0.0,0.0,-0.435,28.056,15.17,0.324,3.65,0.0,0.0,0.0,4.46,-10.0,29.997,0.0,0.106,48.056,615.17,5.316,39.966,999.001,-4.5698,"[0.0, 0.0, -0.43469796, 28.05594228, 15.17018371, 0.0, 0.0, 0.0, 4.45973011, 0.3236347, 3.65025262]"
run05_u0065027.log,Scan6,360.0,360.0,5.0,0.0,29.997,0.0,0.541,20.0,600.0,-6.002,33.656,959.0,-4.5698,45.0,88123978.536916,16513.183355,99.981261418709,28.4911,0.001258407,99.99558315754743,1000000.0,0.0,0.0,0.0,-0.421,27.992,15.09,0.212,3.659,0.0,0.0,0.0,4.557,0.0,29.997,0.0,0.119,47.992,615.09,19.316,39.966,999.001,-4.5698,"[0.0, 0.0, -0.4211508, 27.991809, 15.08973235, 0.0, 0.0, 0.0, 4.55693202, 0.21170215, 3.65878721]"
run06_u0065028.log,Scan7,360.0,360.0,5.0,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,58.0,39266334.804216,352985.857469,99.10104709484854,21.4706,0.005400178,99.97484849980906,1000000.0,0.0,0.0,0.0,-0.422,10.154,14.83,15.524,12.09,0.0,0.0,0.0,5.817,5.0,29.995,0.0,0.119,30.154,614.83,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.4218367, 10.15377492, 14.8299307, 0.0, 0.0, 0.0, 5.81719418, 15.52374685, 12.08955067]"
run07_u0065030.log,Scan8,360.0,360.0,5.0,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,68.0,19546054.501134,113158.345128,99.42106809780238,30.01964,0.006010542,99.97997796775711,1000000.0,0.0,0.0,0.0,-0.37,8.212,15.727,15.698,12.022,0.0,0.0,0.0,5.992,5.0,29.992,0.0,0.171,28.212,815.726,0.0,24.977,1099.001,-4.5698,"[0.0, 0.0, -0.36972646, 8.21241758, 15.72664242, 0.0, 0.0, 0.0, 5.99237126, 15.69750125, 12.02211763]"
run08_u0065047.log,Scan9,360.0,360.0,5.0,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,48.0,83234193.707866,149931.60368,99.81986777669016,35.48225,0.01184728,99.9666106856245,1000000.0,0.0,0.0,0.0,-0.412,30.45,15.231,15.934,11.692,0.0,0.0,0.0,5.079,-10.0,29.997,0.0,0.128,50.45,815.23,5.316,39.966,1099.001,-4.5698,"[0.0, 0.0, -0.41218469, 30.44968006, 15.23061253, 0.0, 0.0, 0.0, 5.07910991, 15.93417391, 11.6924319]"
run09_u0065064.log,Scan10,360.0,360.0,5.0,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,52.0,110166634.264517,366851.93642,99.66700268291835,33.19546,0.005305163,99.98401840793892,1000000.0,0.0,0.0,0.0,-0.4,27.992,15.028,16.011,11.391,0.0,0.0,0.0,5.508,-10.0,29.997,0.0,0.14,47.992,615.028,5.316,39.966,999.001,-4.5698,"[0.0, 0.0, -0.40022112, 27.99188731, 15.02844841, 0.0, 0.0, 0.0, 5.50815341, 16.01073455, 11.39148265]"
